LOJA;DATA;SKU;QTD_ANTIGA;QTDE_AJUSTE;TIPO_AJUSTE
227;10/04/2025;999999990988834;5;1;ENTRADA NO ESTOQUE
023;24/01/2025;999999991021803;-1;1;ENTRADA NO ESTOQUE
127;25/04/2025;999999991038796;0;1;ENTRADA NO ESTOQUE
299;10/01/2025;999999991038797;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991038863;3;3;SA?DA DO ESTOQUE
299;16/05/2025;999999991038863;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991044888;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991055343;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991056314;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991062309;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991069323;1;1;SA?DA DO ESTOQUE
010;16/01/2025;999999991073436;0;1;ENTRADA NO ESTOQUE
042;29/05/2025;999999991078510;11;1;ENTRADA NO ESTOQUE
034;14/05/2025;999999991087268;16;1;SA?DA DO ESTOQUE
124;05/06/2025;999999991087268;13;4;ENTRADA NO ESTOQUE
074;07/05/2025;999999991087268;35;1;AJUSTE CONTAGEM SAIDA
045;04/06/2025;999999991087268;7;1;SA?DA DO ESTOQUE
058;02/01/2025;999999992574351;2;1;AJUSTE CONTAGEM ENTRADA
223;02/01/2025;999999992582498;-1;1;AJUSTE CONTAGEM ENTRADA
064;01/04/2025;999999991087268;56;1;ENTRADA NO ESTOQUE
034;16/04/2025;999999991087268;17;1;ENTRADA NO ESTOQUE
035;02/01/2025;999999992583991;0;1;AJUSTE CONTAGEM ENTRADA
049;13/03/2025;999999991087268;18;1;ENTRADA NO ESTOQUE
120;26/02/2025;999999991087268;38;1;ENTRADA NO ESTOQUE
026;14/03/2025;999999991087268;41;2;ENTRADA NO ESTOQUE
120;15/04/2025;999999991087268;27;1;SA?DA DO ESTOQUE
343;02/01/2025;999999992585793;3;1;AJUSTE CONTAGEM ENTRADA
343;02/01/2025;999999992585806;0;1;AJUSTE CONTAGEM ENTRADA
299;02/06/2025;999999991087999;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991088404;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991088406;1;1;SA?DA DO ESTOQUE
DES;10/06/2025;999999991088406;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991090405;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999991103076;1;1;SA?DA DO ESTOQUE
